id;title_uz;title_ru;title_kr;content_uz;content_ru;content_kr
1;mindshare Interactions Versatile;Frozen Rubber line;navigating Sports;needs-based Passage;Customer Cambridgeshire end-to-end;web-readiness copy
2;Chips purple;bypass microchip;Table invoice;Berkshire Designer the;solution policy Grove;Bike Timor-Leste grow
3;Account;Toys contextually-based Sausages;National Soap;calculating Shoes;HTTP grow USB;Dinar
4;quantifying;bus;National;Taka JBOD state;blue invoice;Administrator Borders Greece
5;Identity calculate bus;calculate;boliviano;time-frame;Tasty Cuban;deposit
6;Orchestrator Dynamic Pound;firewall;Pizza;virtual;generating Computer;open-source Montana
7;analyzer;regional Regional withdrawal;Plastic Investor back;Profound;Forward;Licensed
8;optimize Frozen Tasty;calculate;generation Grocery;application;Beauty Court;mint Ramp
9;Chicken killer cyan;channels;grow;Frozen Specialist Granite;Jewelery;up Kids
10;Industrial USB;solid;Licensed;payment wireless;integrated Concrete bypassing;microchip Toys
