id;title_uz;title_ru;title_kr
1;up;Account;embrace
2;Branding Unions Legacy;paradigm;Island withdrawal
3;plum;orange;Global orange
4;Motorway;mobile Awesome;Licensed
5;hub input Integration;framework redefine Cambridgeshire;Savings Chair
6;Accountability withdrawal;redundant Grass-roots Ergonomic;withdrawal deliverables Licensed
7;cyan Union optical;Applications Administrator;pixel Incredible RAM
8;bus services integrated;Borders;District calculating Polarised
9;Dynamic;Buckinghamshire;Chief Data
10;system Florida compress;ability Ergonomic;logistical yellow override
