id;content_uz;content_ru;content_kr
1;white Soft;Borders up compress;Afghani Ergonomic
2;Cotton generating;alarm;Sausages
3;indexing Market Re-engineered;connecting Account Global;primary Somoni matrix
4;incubate PCI;Response;plum Associate
5;Stand-alone ROI;Pizza;orchestrate
6;Integrated;Enhanced;Borders world-class Group
7;projection;Facilitator bypassing;synthesize payment
8;bluetooth;Wall Sausages;Borders District Associate
9;Intelligent Virtual Kids;Denar Factors backing;revolutionize
10;Denmark connect Small;Internal;synergize National extend
