id;title_uz;title_ru;title_kr;content_uz;content_ru;content_kr;posted_date;status
1;Bacon withdrawal Metrics;deposit front-end;transmitter deposit override;Rustic invoice HDD;Car;Global;2022-09-21;true
2;Planner Tuna synthesizing;Cambridgeshire calculating integrate;microchip front-end Frozen;Pizza navigating;Ergonomic Liaison EXE;SQL portal;2022-09-20;false
3;Thailand clicks-and-mortar optical;auxiliary;Camp orchid;Assurance data-warehouse;Accounts Islands;Colombian Movies;2022-09-20;false
4;Lithuania Bacon;methodology;RSS;cross-platform Representative;parsing Soap;Research;2022-09-20;true
5;Investor Kenyan;dot-com Vietnam;bricks-and-clicks Islands;Alabama;bypass invoice Shoes;cross-platform incentivize markets;2022-09-20;false
6;bluetooth Cambridgeshire;calculate card;override solid;bleeding-edge SMTP Investor;Kwanza;pixel Kiribati stable;2022-09-20;true
7;intuitive;firewall invoice Electronics;Manager gold;Frozen Chair help-desk;Central;Communications Fresh;2022-09-20;true
8;schemas;Cambridgeshire;protocol teal;orange;backing needs-based;Fantastic Bond;2022-09-20;false
9;Sleek Supervisor compress;payment Borders Automotive;maximize;Car Steel;best-of-breed;Branch synthesize Small;2022-09-21;false
10;Tactics Corners Pa'anga;Sports;human-resource;York;navigate Avon;Gourde Caribbean website;2022-09-21;false
