id;content_uz;content_ru;content_kr
1;cultivate;Customer;ROI
2;Handcrafted Total digital;Metal value-added;state
3;Soft capacitor Analyst;Savings Leone;Real
4;Martinique Sports multi-state;Connecticut;B2C Concrete end-to-end
5;Village supply-chains bluetooth;productivity application Assurance;bluetooth
6;Technician card azure;Avon;Granite TCP dot-com
7;Senior Cambridgeshire Soap;benchmark Bedfordshire;redundant TCP maroon
8;Liaison leverage;encompassing frictionless Borders;port
9;Virginia Rustic;Mobility;toolset
10;rich;Borders;Awesome
