id;orginal_name;name;image_data;mainly_photo
1;Cambridgeshire International;Dollar Spurs Front-line;fuchsia disintermediate;false
2;flexibility Buckinghamshire;Legacy Krone Lake;Steel;true
3;HDD;Books Pre-emptive;interface Plastic;true
4;Borders Mobility Thailand;Metrics;Customer;true
5;synergize;Motorway program open;Cotton;true
6;Optimization interface;Ergonomic;24/365 connecting;false
7;navigate;deposit Director Pitcairn;Manager;false
8;Handmade Shilling web-readiness;virtual matrix Cheese;auxiliary;false
9;driver;Wyoming;programming New Andorra;true
10;Fresh;Facilitator primary;Profound Egypt Innovative;true
