id;start_date;end_date;language
1;2022-09-21T03:39:03;2022-09-21T01:29:18;ENGLISH
2;2022-09-20T13:06:38;2022-09-20T22:32:07;FRENCH
3;2022-09-20T23:02:50;2022-09-20T11:07:58;SPANISH
4;2022-09-21T03:33:39;2022-09-20T08:59:58;FRENCH
5;2022-09-21T05:50:02;2022-09-20T14:09:00;ENGLISH
6;2022-09-20T15:20:45;2022-09-21T05:21:05;SPANISH
7;2022-09-20T23:24:33;2022-09-20T09:58:42;FRENCH
8;2022-09-20T13:50:26;2022-09-20T10:26:15;FRENCH
9;2022-09-20T14:42:04;2022-09-21T02:13:30;FRENCH
10;2022-09-20T10:39:02;2022-09-21T03:36:31;FRENCH
