id;title_uz;title_ru;title_kr
1;Paraguay Soap Gloves;Industrial;Sausages Generic
2;Mountain definition;Tennessee;portals
3;payment Massachusetts;Borders Card;Lek payment
4;Account Communications;Lead;Drives compress
5;National syndicate;Interactions payment cross-platform;Specialist connect compressing
6;Shirt;Frozen Pines Consultant;indexing Baby
7;solution-oriented Coordinator;Rand;neural-net encoding EXE
8;Cloned SSL;Liaison;background
9;discrete Cambridgeshire;ADP;Applications Serbia
10;deposit AGP;virtual Manager;Dobra invoice
