id;title_uz;title_ru;title_kr
1;Manat;withdrawal Supervisor;HTTP Tuna payment
2;Manat;mindshare Loan Louisiana;up
3;Analyst adapter;motivating;Accountability Steel Frozen
4;Chair;Response Group Jersey;Computer
5;cross-platform holistic Chicken;Berkshire;Customer leading
6;unleash executive alarm;Toys Bedfordshire EXE;magenta back-end
7;withdrawal orchestrate;ubiquitous transmitting Hat;Account transmit Refined
8;Functionality;Licensed Granite Operations;connect Islands,
9;architect;Bedfordshire;platforms grid-enabled
10;Rubber;Iowa;Fantastic synergies Group
