id;title_uz;title_ru;title_kr;content_uz;content_ru;content_kr;posted_date;status
1;technologies Computer;hack Tasty internet;index;analyzing Grocery world-class;maximize;bricks-and-clicks Franc Directives;2022-09-20;true
2;Investment;Platinum olive;Orchestrator;Kids Unbranded Berkshire;Investment override;pink;2022-09-20;true
3;Granite withdrawal;back-end;quantify;CSS Cheese;contextually-based interfaces;Fresh;2022-09-20;true
4;payment;tan withdrawal;web-enabled Won;users Inlet;Up-sized Customer PNG;Indiana;2022-09-20;true
5;French;Front-line static South;communities Developer network;e-commerce Cambridgeshire Concrete;Fresh Assistant;Chair Way Soft;2022-09-21;false
6;Fish;Curve;Ergonomic Liaison secondary;PNG;Arkansas Progressive;bypass;2022-09-20;true
7;Function-based;online quantifying;deposit;Communications;Usability white;Paradigm quantify Lock;2022-09-21;true
8;orchestrate;markets Games homogeneous;reboot Optimization;navigate;scalable plum;hardware;2022-09-20;false
9;Practical Computers Buckinghamshire;Gloves;Coordinator hack Steel;open;Pants Wisconsin Card;Technician schemas Borders;2022-09-21;true
10;withdrawal web-enabled seize;holistic synthesizing;Plastic Uruguay;lime Kentucky Plastic;Dobra;primary;2022-09-20;false
