id;title_uz;title_ru;title_kr;content_uz;content_ru;content_kr
1;supply-chains;Dominica Guinea deposit;connecting;high-level withdrawal Berkshire;Way Industrial;Dollar PNG Factors
2;analyzing generating analyzing;vortals Wooden discrete;generating Platinum Andorra;Compatible portal;Multi-channelled port innovative;Avon interface
3;Dam clicks-and-mortar Table;Buckinghamshire generate Shoes;overriding 24/365;Oregon;redundant Assistant;Monaco Facilitator
4;Officer;Generic Djibouti overriding;Future pixel system;Bedfordshire enable;migration;indigo Branch hacking
5;e-markets withdrawal;Fresh Account;Secured Programmable;Communications;Steel holistic Generic;Brook District
6;hierarchy calculating;Outdoors Tools projection;navigating Western;card;Rustic;Officer
7;system;Metal;Dominican Toys disintermediate;global Chicken;Practical;SAS Tonga Licensed
8;leverage synergistic;Cotton Web;Pennsylvania Mouse Soap;Costa;turn-key holistic;Quality-focused
9;Fresh;best-of-breed;AGP Computers;auxiliary;invoice bottom-line Bedfordshire;architectures Direct Borders
10;compress best-of-breed;exuding Bedfordshire Home;Chair PNG interface;Personal;impactful foreground Handmade;Investor
